Intestazione_1,Intestazione_2,unita_misura,nome_campo_output
PORTO EMPEDOCLE SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),porto_empedocle_SO2_Media_24_h
PORTO EMPEDOCLE CO(mg/m3) - 2014,Max orario,(mg/m3),porto_empedocle_CO_Max_orario
PORTO EMPEDOCLE CO(mg/m3) -2014 ,Max media 8h,(mg/m3),porto_empedocle_CO_Max_media_8h
PORTO EMPEDOCLE NO2 (µg/m3) -2014,Max orario,(µg/m3),porto_empedocle_NO2_Max_orario
PORTO EMPEDOCLE O3 (µg/m3) -2014,Max orario,(µg/m3),porto_empedocle_O3_Max_orario
PORTO EMPEDOCLE O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),porto_empedocle_O3_Max_media_8h
PORTO EMPEDOCLE PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),porto_empedocle_PM10_Media_24_h
PORTO EMPEDOCLE Benzene (µg/m3) -2014,Max orario,(µg/m3),porto_empedocle_Benzene_Max_orario
PORTO EMPEDOCLE PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),porto_empedocle_PM2.5_Media_24_h
VILLA AUGUSTA_SO2(µg/m3)-2014,Max orario,(µg/m3),villa_augusta_SO2_Max_orario
VILLA AUGUSTA SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),villa_augusta_SO2_Media_24_h
VILLA AUGUSTA CO(mg/m3) - 2014,Max orario,(mg/m3),villa_augusta_CO_Max_orario
VILLA AUGUSTA CO(mg/m3) -2014 ,Max media 8h,(mg/m3),villa_augusta_CO_Max_media_8h
VILLA AUGUSTA NO2 (µg/m3) -2014,Max orario,(µg/m3),villa_augusta_NO2_Max_orario
VILLA AUGUSTA O3 (µg/m3) -2014,Max orario,(µg/m3),villa_augusta_O3_Max_orario
VILLA AUGUSTA O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),villa_augusta_O3_Max_media_8h
VILLA AUGUSTA PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),villa_augusta_PM10_Media_24_h
VILLA AUGUSTA Benzene (µg/m3) -2014,Max orario,(µg/m3),villa_augusta_Benzene_Max_orario
VILLA AUGUSTA PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),villa_augusta_PM2.5_Media_24_h
Lab_Mobile_4_SO2(µg/m3)-2014,Max orario,(µg/m3),lab_mobile_4_so2__Max_orario
Lab_Mobile_4 SO2 (µg/m3) - 2014,Media 24 h,(µg/m3),lab_mobile_4_SO2_Media_24_h
Lab_Mobile_4 CO(mg/m3) - 2014,Max orario,(mg/m3),lab_mobile_4_CO_Max_orario
 Lab_Mobile_4 CO(mg/m3) -2014 ,Max media 8h,(mg/m3),lab_mobile_4_CO_Max_media_8h
Lab_Mobile_4 NO2 (µg/m3) -2014,Max orario,(µg/m3),lab_mobile_4_NO2_Max_orario
Lab_Mobile_4 O3 (µg/m3) -2014,Max orario,(µg/m3),lab_mobile_4_O3_Max_orario
Lab_Mobile_4 O3 (µg/m3) - 2014 ,Max media 8h,(µg/m3),lab_mobile_4_O3_Max_media_8h
Lab_Mobile_4 PM 10 (µg/m3) -2014,Media 24 h,(µg/m3),lab_mobile_4_PM10_Media_24_h
Lab_Mobile_4 Benzene (µg/m3) -2014,Max orario,(µg/m3),lab_mobile_4_Benzene_Max_orario
Lab_Mobile_4 PM 2.5 (µg/m3) -2014,Media 24 h,(µg/m3),lab_mobile_4_PM2.5_Media_24_h
partinico O3,,,partinico_O3
partinico NO2,,,partinico_NO2
partinico SO2,,,partinico_SO2
sasol O3,,,sasol_O3
sasol NO2,,,sasol_NO2
sasol SO2,,,sasol_SO2
enna O3,,,enna_O3
enna NO2,,,enna_NO2
enna SO2,,,enna_SO2
